コンテンツID,メインカテゴリ,サブカテゴリ
,地中海食,パスタ
,地中海食,肉
,地中海食,魚介
,地中海食,前菜・サラダ
,和食,ご飯もの
,和食,麺類
,和食,汁物
,和食,鍋物
,和食,揚げ物
,和食,焼き物
,和食,煮物
,和食,蒸し物
,和食,和え物
,中華,炒め物
,中華,揚げ物
,中華,麺類
,中華,天津・餃子
,中華,スープ・湯
,中華,前菜・サラダ
,スイーツ,ケーキ
,スイーツ,クッキー・ビスケット
,スイーツ,パン・マフィン
